CHL(mg/m^3),SST(°C),salinity(ppt),salinity(PSU),Wind_Speed_ERA5(m/s),Wind_Direction_ERA5(degree north),TP(mm),STD_200Km,STD_100Km,SST_STD_12months(°C),SST_STD_6months(°C),Salinity_STD_6months,Status_TR10,delta(200-100),Next_Month_CHL,Next_Month_Status
6.04168,26.895,16386.48276,36.38648276,0.747709747,-158.1693683,0,0.4233,0.4985,1.669336767,0.712994955,198.8735705,Not Bloom,-0.0752,3.93916,NON_BLOOM
3.93916,24.855,16297.23333,36.29723333,0.259732325,-32.3687268,0.00016,0.3947,0.513,1.700908254,1.18724003,185.2774951,Not Bloom,-0.1183,2.69981,NON_BLOOM
2.69981,23.17,16235.13333,36.23513333,1.511543382,14.77756641,0.00087,0.4417,0.5452,1.826327666,1.624132247,146.0534753,Not Bloom,-0.1035,2.43594,NON_BLOOM
2.43594,23.035,16088.88889,36.08888889,2.184803139,53.93434225,0.0028,0.2789,0.2863,1.908579451,1.811773993,119.3625643,Not Bloom,-0.0074,1.87391,NON_BLOOM
1.87391,24.615,16060.86667,36.06086667,3.327610723,52.88855087,0.00016,0.2737,0.2448,1.920634073,1.666247656,142.8035369,Not Bloom,0.0289,,NON_BLOOM
,,,20,,,,,,,,,,,,
,,,20,,,,,,,,,,,,
,,,20,,,,,,,,,,,,
,,,20,,,,,,,,,,,4.61053,
4.61053,28.665,16751.83333,36.75183333,3.061037806,-13.17220367,0,0.5586,0.5277,1.94566019,1.607828289,227.6577867,Not Bloom,0.0309,25.18527,BLOOM
25.18527,27.345,16600.13793,36.60013793,2.625481714,6.2026565,0,0.5346,0.5106,1.957181044,1.109382023,138.9558795,Bloom,0.024,5.56263,NON_BLOOM
5.56263,27.69,16470,36.47,1.269575978,9.931091268,0.00015,0.416,0.5272,1.972453483,0.729711225,103.8164038,Not Bloom,-0.1112,3.80736,NON_BLOOM
3.80736,27.54,16405.75862,36.40575862,2.1500214,153.0861402,0.00073,0.218,0.2847,1.994701662,0.622366117,117.9714275,Not Bloom,-0.0667,1.9339,NON_BLOOM
1.9339,25.53,16147.26667,36.14726667,1.123040515,-19.87644242,0.00002,0.3774,0.4584,1.958877717,0.998246031,198.3701026,Not Bloom,-0.081,2.46964,NON_BLOOM
2.46964,23.77,16388.56667,36.38856667,2.053261426,54.49006156,0.00033,0.4665,0.5871,1.879825411,1.627753223,187.4167389,Not Bloom,-0.1206,2.31832,NON_BLOOM
2.31832,22.055,16354.21429,36.35421429,1.084625454,4.507718018,0.00121,0.4214,0.4703,2.043988603,2.12443718,135.951121,Not Bloom,-0.0489,3.11054,NON_BLOOM
3.11054,22.69,16350.56667,36.35056667,2.402985042,52.18136037,0.00009,0.2978,0.2776,2.24700217,2.213708082,100.0588316,Not Bloom,0.0202,,NON_BLOOM
,,,20,,,,,,,,,,,,
,,,20,,,,,,,,,,,,
,,,20,,,,,,,,,,,,
,,,20,,,,,,,,,,,,
,,,20,,,,,,,,,,,3.94796,
3.94796,26.515,16333.93103,36.33393103,1.297753019,1.427864176,0,0.5887,0.7449,1.769125647,0.693754379,67.39102233,Not Bloom,-0.1562,11.09606,BLOOM
11.09606,27.295,16404.16667,36.40416667,0.666062138,73.49711105,0.00025,0.4099,0.5328,1.732135153,0.578955597,65.92637348,Bloom,-0.1229,2.8733,NON_BLOOM
2.8733,27.475,16476.17241,36.47617241,0.719151194,-164.5920291,0.00143,0.334,0.3823,1.72586492,0.671971085,67.73311907,Not Bloom,-0.0483,2.36882,NON_BLOOM
2.36882,25.71,16680.9,36.6809,0.957796411,-49.80588006,0.00205,0.3432,0.4179,1.726813459,0.736915965,116.2557888,Not Bloom,-0.0747,1.808,NON_BLOOM
1.808,23.305,16568.07692,36.56807692,1.342011978,-0.242059387,0.00105,0.5024,0.5645,1.770281826,1.398054203,122.8779508,Not Bloom,-0.0621,2.08051,NON_BLOOM
2.08051,23.165,16541,36.541,1.937768964,35.65913231,0.00117,0.2724,0.3072,1.610735415,1.752673553,112.8184044,Not Bloom,-0.0348,1.76653,NON_BLOOM
1.76653,24.365,16500.89474,36.50089474,2.539328495,49.28698623,0.00001,0.2879,0.2722,1.41569967,1.744134018,85.54466674,Not Bloom,0.0157,2.54123,NON_BLOOM
